"Month","Tmin","Tmax","CP"
10,-20,-15,1.05163801416494e-13
10,-20,-14,6.17598020798172e-13
10,-20,-13,3.6247262974733e-12
10,-20,-12,2.11742354879753e-11
10,-20,-11,1.22777900048592e-10
10,-20,-10,7.05361860697054e-10
10,-20,-9,4.00953343504499e-09
10,-20,-8,2.25268410026439e-08
10,-20,-7,1.24986685931408e-07
10,-20,-6,6.84504616056144e-07
10,-20,-5,3.70139445005861e-06
10,-20,-4,1.97843736762844e-05
10,-20,-3,0.000103668809235571
10,-20,-2,0.00053412220050745
10,-20,-1,0.00269838705183283
10,-20,0,0.0132000210254241
10,-20,1,0.0591717717467436
10,-20,2,0.200084327719218
10,-20,3,0.384813725732375
10,-20,4,0.4071801797396
10,-20,5,0.442685076936717
10,-20,6,0.440068095309114
10,-20,7,0.481919230969002
10,-20,8,0.503897904810282
10,-20,9,0.492457135684196
10,-20,10,0.48612256750385
10,-20,11,0.502491663783986
10,-20,12,0.514872208672482
10,-20,13,0.534030696370947
10,-20,14,0.488859638871024
10,-20,15,0.463668041874697
10,-20,16,0.444552063206755
10,-20,17,0.425244722250599
10,-20,18,0.412860088816742
10,-20,19,0.423084541453307
10,-20,20,0.350414027336208
10,-20,21,0.318273902095529
10,-20,22,0.0322658513919183
10,-20,23,0
10,-20,24,0
10,-20,25,0
10,-20,26,0
10,-20,27,0
10,-20,28,0
10,-20,29,0
10,-20,30,0
10,-19,-15,1.21424359961754e-13
10,-19,-14,6.95242948117668e-13
10,-19,-13,4.01517441574136e-12
10,-19,-12,2.31846995738005e-11
10,-19,-11,1.33236817905627e-10
10,-19,-10,7.59913533766784e-10
10,-19,-9,4.2934184682423e-09
10,-19,-8,2.39978630381186e-08
10,-19,-7,1.325946816393e-07
10,-19,-6,7.24149992767139e-07
10,-19,-5,3.91252769188913e-06
10,-19,-4,2.07515896175497e-05
10,-19,-3,0.000108361249148073
10,-19,-2,0.000556649605850247
10,-19,-1,0.00280434236425812
10,-19,0,0.0136795450308743
10,-19,1,0.0611110404348316
10,-19,2,0.2056689771659
10,-19,3,0.394228006997734
10,-19,4,0.413372619244539
10,-19,5,0.453820694985506
10,-19,6,0.448909950209327
10,-19,7,0.490047787865517
10,-19,8,0.494351843266154
10,-19,9,0.497829824772262
10,-19,10,0.50609157199929
10,-19,11,0.500699159976302
10,-19,12,0.530455011523911
10,-19,13,0.463278729437266
10,-19,14,0.49531861711219
10,-19,15,0.484547186541406
10,-19,16,0.431271421405101
10,-19,17,0.410954770721874
10,-19,18,0.451853205763957
10,-19,19,0.452370523401393
10,-19,20,0.385881575375869
10,-19,21,0.297295448069886
10,-19,22,0.0316723994343917
10,-19,23,0
10,-19,24,0
10,-19,25,0
10,-19,26,0
10,-19,27,0
10,-19,28,0
10,-19,29,0
10,-19,30,0
10,-18,-15,1.46382918519588e-13
10,-18,-14,8.01212572000082e-13
10,-18,-13,4.51266025771726e-12
10,-18,-12,2.56384985228788e-11
10,-18,-11,1.45629728804087e-10
10,-18,-10,8.23141853735472e-10
10,-18,-9,4.61681723781979e-09
10,-18,-8,2.56632771917503e-08
10,-18,-7,1.41215902831962e-07
10,-18,-6,7.69685467906813e-07
10,-18,-5,4.12484812313844e-06
10,-18,-4,2.17877923593689e-05
10,-18,-3,0.000113378358770355
10,-18,-2,0.000580573628411324
10,-18,-1,0.0029161210909393
10,-18,0,0.0141821462160899
10,-18,1,0.0631292253676325
10,-18,2,0.211442867102906
10,-18,3,0.40397846755916
10,-18,4,0.419738210228565
10,-18,5,0.465294649379887
10,-18,6,0.455547229851673
10,-18,7,0.492748630032387
10,-18,8,0.519884214823573
10,-18,9,0.512014673644002
10,-18,10,0.496378883857216
10,-18,11,0.50063876632464
10,-18,12,0.544587227448454
10,-18,13,0.491277316928493
10,-18,14,0.506427920108184
10,-18,15,0.46341797356558
10,-18,16,0.460150402468406
10,-18,17,0.446704779400552
10,-18,18,0.455796303407464
10,-18,19,0.475143347791693
10,-18,20,0.447694593593074
10,-18,21,0.303257475782577
10,-18,22,0.0963363974659417
10,-18,23,0
10,-18,24,0
10,-18,25,0
10,-18,26,0
10,-18,27,0
10,-18,28,0
10,-18,29,0
10,-18,30,0
10,-17,-15,1.93773192996676e-13
10,-17,-14,9.644956248217e-13
10,-17,-13,5.19176201459516e-12
10,-17,-12,2.87620778715655e-11
10,-17,-11,1.60730213444728e-10
10,-17,-10,8.97923304845061e-10
10,-17,-9,4.99496970969451e-09
10,-17,-8,2.75857291523944e-08
10,-17,-7,1.51217700652654e-07
10,-17,-6,8.16860903904766e-07
10,-17,-5,4.35540235052643e-06
10,-17,-4,2.29084436748627e-05
10,-17,-3,0.000118759546934952
10,-17,-2,0.000606028350992594
10,-17,-1,0.0030341685674065
10,-17,0,0.0147091191666484
10,-17,1,0.0652289285230837
10,-17,2,0.217408991451789
10,-17,3,0.413953504782987
10,-17,4,0.431386932094231
10,-17,5,0.477121629862569
10,-17,6,0.476580170733229
10,-17,7,0.490564506754282
10,-17,8,0.5081087662328
10,-17,9,0.519901688177395
10,-17,10,0.514630063574312
10,-17,11,0.532571994211329
10,-17,12,0.557641049626827
10,-17,13,0.511228048096667
10,-17,14,0.460682979886389
10,-17,15,0.455500600025491
10,-17,16,0.432058999015229
10,-17,17,0.465000367076991
10,-17,18,0.484541763534001
10,-17,19,0.492251060384035
10,-17,20,0.46078765787053
10,-17,21,0.282959005070067
10,-17,22,0.161784476314168
10,-17,23,0
10,-17,24,0
10,-17,25,0
10,-17,26,0
10,-17,27,0
10,-17,28,0
10,-17,29,0
10,-17,30,0
10,-16,-15,3.1562816096044e-13
10,-16,-14,1.27516866759149e-12
10,-16,-13,6.23988983300167e-12
10,-16,-12,3.30285277987321e-11
10,-16,-11,1.79951067170126e-10
10,-16,-10,9.89921679733585e-10
10,-16,-9,5.45602114555816e-09
10,-16,-8,2.98622900930383e-08
10,-16,-7,1.61968930934371e-07
10,-16,-6,8.69106175464046e-07
10,-16,-5,4.60880678061828e-06
10,-16,-4,2.4127098275895e-05
10,-16,-3,0.00012455237714282
10,-16,-2,0.00063318026606828
10,-16,-1,0.00315903219841647
10,-16,0,0.0152620455035651
10,-16,1,0.0674133687785207
10,-16,2,0.223571206222934
10,-16,3,0.424723216665601
10,-16,4,0.442512382582555
10,-16,5,0.472660048644329
10,-16,6,0.496120907643255
10,-16,7,0.514263655642698
10,-16,8,0.504501729217098
10,-16,9,0.516041207397837
10,-16,10,0.526295847808706
10,-16,11,0.550689726658451
10,-16,12,0.541382802263542
10,-16,13,0.512222460660094
10,-16,14,0.466715763138825
10,-16,15,0.465841819040709
10,-16,16,0.478975375370743
10,-16,17,0.488392498663116
10,-16,18,0.506400678133006
10,-16,19,0.477570356336933
10,-16,20,0.396947859192657
10,-16,21,0.267241318421452
10,-16,22,0.226686713092738
10,-16,23,0
10,-16,24,0
10,-16,25,0
10,-16,26,0
10,-16,27,0
10,-16,28,0
10,-16,29,0
10,-16,30,0
10,-15,-15,7.41067287747357e-13
10,-15,-14,2.07272245647172e-12
10,-15,-13,8.23846986395875e-12
10,-15,-12,3.96486285972981e-11
10,-15,-11,2.06449952941704e-10
10,-15,-10,1.10909932664976e-09
10,-15,-9,6.00192421059714e-09
10,-15,-8,3.24376645207168e-08
